Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),MPN (product.metafields.shopwoo._sw_mpn),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400471.jpg?v=1772548611,5,,,,,,,,,,,,,,,
white-yellow-exotic-skin-leather-shopping-tote-papier-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/4400474.jpg?v=1772548611,6,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-2,Beige Lamb Ovis Aries Aries Shoulder Bag,"<p>The Icons leather chain Shoulder Bag by Chloé is crafted from soft lambskin nappa and can be carried by hand, over the shoulder, or across the body. Featuring a single main compartment, a top handle, a decorative chain, and a drawstring closure, it combines elegance, versatility, and a distinctive design.</p>
<p>Season: SS26<br>
Dimension: 27x26x10<br>
Composition: 100% Lamb Ovis Aries Aries</p>
",Chloé,,,"112075178262, 13426, Bags, Beige, Chloé, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,CHCH26UP789R1220SBB,0,shopify,deny,manual,1065,1420,TRUE,TRUE,,,,,'9900660652926,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505626.jpg?v=1772548118,1,,FALSE,,,,,,,,CH26UP789R12,,kg,,690,active
beige-lamb-ovis-aries-aries-shoulder-bag-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505629.jpg?v=1772548119,2,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505631.jpg?v=1772548119,3,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505633.jpg?v=1772548119,4,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-1,Beige Lamb Ovis Aries Aries Shoulder Bag,"<p>The Icons leather chain Shoulder Bag by Chloé is crafted from soft lambskin nappa and can be carried by hand, over the shoulder, or across the body. Featuring a single main compartment, a top handle, a decorative chain, and a drawstring closure, it combines elegance, versatility, and a distinctive design.</p>
<p>Season: SS26<br>
Dimension: 27x26x10<br>
Composition: 100% Lamb Ovis Aries Aries</p>
",Chloé,,,"112075178262, 13426, Bags, Beige, Chloé, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,CHCH26UP789R1226XBB,0,shopify,deny,manual,1065,1420,TRUE,TRUE,,,,,'9900660652919,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505614.jpg?v=1772548117,1,,FALSE,,,,,,,,CH26UP789R12,,kg,,690,active
beige-lamb-ovis-aries-aries-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505616.jpg?v=1772548117,2,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505619.jpg?v=1772548117,3,,,,,,,,,,,,,,,
beige-lamb-ovis-aries-aries-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505627.jpg?v=1772548117,4,,,,,,,,,,,,,,,
blue-calf-leather-bos-taurus-shoulder-bag,Blue Calf Leather Bos Taurus Shoulder Bag,"<p>The Spin Shoulder Bag by Chloé, crafted by shiny grained leather, features an elegant design with two flat top handles and an adjustable shoulder strap. The closure is secured by a magnetic button, while the detail of the hanging chain with Chloé medals and the emblematic Horse adds a distinctive touch. The iconic monogram press-stamped on the front stands out, and inside there is a single compartment, for a minimalist and functional aesthetic.</p>
<p>Season: SS26<br>
Dimension: 18x19x8<br>
Composition: 100% Calf Leather Bos Taurus</p>
",Chloé,,,"112075178262, 13426, Bags, Blue, Chloé, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,CHCH25SS812N8444JBB,0,shopify,deny,manual,1030,1370,TRUE,TRUE,,,,,'9900660652698,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505581.jpg?v=1772548115,1,,FALSE,,,,,,,,CH25SS812N84,,kg,,670,active
blue-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505582.jpg?v=1772548115,2,,,,,,,,,,,,,,,
blue-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505583.jpg?v=1772548115,3,,,,,,,,,,,,,,,
blue-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505584.jpg?v=1772548115,4,,,,,,,,,,,,,,,
blue-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10505585.jpg?v=1772548115,5,,,,,,,,,,,,,,,
black-lamb-ovis-aries-aries-shoulder-bag-3,Black Lamb Ovis Aries Aries Shoulder Bag,"<p>The Le City Clutch Bag by Balenciaga is crafted from Arena lambskin and combines practicality and contemporary style. Featuring an adjustable and removable shoulder strap for carrying on the shoulder or cross-body, it features a zip closure with a knotted leather zip pull, a front zip pocket, and six interior card slots. Brass hardware completes the design, making it an elegant and functional accessory.</p>
<p>Season: SS26<br>
Dimension: 25x14x4<br>
Composition: 100% Lamb Ovis Aries Aries</p>
",Balenciaga,,,"112075178262, 13426, Bags, Balenciaga, Black, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,BA8639602ABEK1000BB,3000,shopify,deny,manual,974,1070,TRUE,TRUE,,,,,'9900660487467,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504887.jpg?v=1772548113,1,,FALSE,,,,,,,,8639602ABEK,,kg,,730,active
black-lamb-ovis-aries-aries-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504894.jpg?v=1772548113,2,,,,,,,,,,,,,,,
black-lamb-ovis-aries-aries-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504898.jpg?v=1772548113,3,,,,,,,,,,,,,,,
black-lamb-ovis-aries-aries-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504901.jpg?v=1772548114,4,,,,,,,,,,,,,,,
multicolor-lamb-ovis-aries-aries-shoulder-bag,Multicolor Lamb Ovis Aries Aries Shoulder Bag,"<p>The Le City Clutch Bag by Balenciaga is crafted from Arena lambskin and combines practicality and contemporary style. Featuring an adjustable and removable shoulder strap for carrying on the shoulder or cross-body, it features a zip closure with a knotted leather zip pull, a front zip pocket, and six interior card slots. Brass hardware completes the design, making it an elegant and functional accessory.</p>
<p>Season: SS26<br>
Dimension: 25x14x4<br>
Composition: 100% Lamb Ovis Aries Aries</p>
",Balenciaga,,,"112075178262, 13426, Bags, Balenciaga, Multicolor, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,BA863960210F65833BB,3000,shopify,deny,manual,974,1070,TRUE,TRUE,,,,,'9900661207927,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504881.jpg?v=1772548111,1,,FALSE,,,,,,,,863960210F6,,kg,,730,active
multicolor-lamb-ovis-aries-aries-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504883.jpg?v=1772548111,2,,,,,,,,,,,,,,,
multicolor-lamb-ovis-aries-aries-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504886.jpg?v=1772548111,3,,,,,,,,,,,,,,,
multicolor-lamb-ovis-aries-aries-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10504895.jpg?v=1772548112,4,,,,,,,,,,,,,,,
gray-calf-leather-bos-taurus-shoulder-bag,Gray Calf Leather Bos Taurus Shoulder Bag,"<p>The BC Duo suede Clutch Bag by Brunello Cucinelli combines elegance and functionality. Featuring a magnetic closure, shoulder strap, and leather lining, it has a slot for cards and business cards. Completed by nickel-free metal detailing, it is a refined and practical accessory for any occasion. </p>
<p>Season: SS26<br>
Dimension: 21×14.5×2<br>
Composition: 100% Calf Leather Bos Taurus</p>
",Brunello Cucinelli,,,"112075178262, 13426, Bags, Brunello Cucinelli, Gray, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,BRMWDLD2722C5859BB,3000,shopify,deny,manual,1080,1420,TRUE,TRUE,,,,,'9900661345674,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497859.jpg?v=1772548110,1,,FALSE,,,,,,,,MWDLD2722,,kg,,720,active
gray-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497863.jpg?v=1772548109,2,,,,,,,,,,,,,,,
gray-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497864.jpg?v=1772548109,3,,,,,,,,,,,,,,,
gray-calf-leather-bos-taurus-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497865.jpg?v=1772548110,4,,,,,,,,,,,,,,,
brown-cotton-sleeveles-t-shirt,Brown Cotton Sleeveles T-Shirt,"<p>The Top in cotton with luminous embroidery by Brunello Cucinelli embodies refined and understated elegance through an essential construction enhanced by subtle sparkling details. Crafted from cotton, it features a ribbed crew neckline and open shoulders that highlight the silhouette with contemporary femininity. The decorated surface and clean lines define a sophisticated piece ideal for polished yet effortless styling.</p>
<p>Season: SS26<br>
Fit: Regular<br>
Composition: 93% Cotton 7% Elastane</p>
",Brunello Cucinelli,,,"112075178262, 13426, Brown, Brunello Cucinelli, Clothing, L, M, New with tags, S, Sleeveless - T-Shirts - Clothing, T-Shirts - Clothing, Women, XL, XS",TRUE,Italian Size WOMEN,L,,,,,,,,BR-M0T18HK500C8589-L,1000,shopify,deny,manual,1168,1720,TRUE,TRUE,,,,,'00000000000029703405,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497737.jpg?v=1772548108,1,,FALSE,,,,,,,,,,kg,,780,active
brown-cotton-sleeveles-t-shirt,,,,,,,,,M,,,,,,,,BR-M0T18HK500C8589-M,1000,shopify,deny,manual,1168,1720,TRUE,TRUE,,,,,'00000000000029703403,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497738.jpg?v=1772548108,2,,,,,,,,,,,,kg,,780,
brown-cotton-sleeveles-t-shirt,,,,,,,,,S,,,,,,,,BR-M0T18HK500C8589-S,1000,shopify,deny,manual,1168,1720,TRUE,TRUE,,,,,'00000000000029703402,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10497740.jpg?v=1772548109,3,,,,,,,,,,,,kg,,780,
brown-cotton-sleeveles-t-shirt,,,,,,,,,XL,,,,,,,,BR-M0T18HK500C8589-XL,1000,shopify,deny,manual,1168,1720,TRUE,TRUE,,,,,'00000000000029703406,,,,,,,,,,,,,,kg,,780,
brown-cotton-sleeveles-t-shirt,,,,,,,,,XS,,,,,,,,BR-M0T18HK500C8589-XS,1000,shopify,deny,manual,1168,1720,TRUE,TRUE,,,,,'00000000000029703399,,,,,,,,,,,,,,kg,,780,
black-leather-shoulder-bag-1,Black Leather Shoulder Bag,"<p>Description:<br>
The product with MPN <b>10213831A150331B00V</b> and code <b>F85710</b> <b>leather</b> in <b>black</b> is a <b>shoulder bags</b> designed by <b>Versace</b>. It has features like <b>front detail, back logo</b>.</p>
",Versace,,,"112075374870, 13426, Bags, Black, New with tags, Shoulder Bags - Bags, Versace, Women",TRUE,Title,Default Title,,,,,,,,VE15505892049161BT,3000,shopify,deny,manual,1020.2,1604,TRUE,TRUE,,,,,'8054034523228,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10493098.jpg?v=1772548106,1,,FALSE,,,,,,,,10213831A150331B00V,,kg,,611,active
black-leather-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10493104.jpg?v=1772548106,2,,,,,,,,,,,,,,,
black-leather-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10493109.jpg?v=1772548106,3,,,,,,,,,,,,,,,
brown-calf-leather-bos-taurus-shoulder-bag-3,Brown Calf Leather Bos Taurus Shoulder Bag,"<p>Vita leather Handbag by Golden Goose is made of grained leather with a vintage-effect finish and features the logo embossed on the front. Featuring two round handles and adjustable and removable tonal leather shoulder strap, it offers practicality and style. The closure is zippered, and the interior is lined with one zippered and two slit pockets. A removable key ring and protective metal feet at the base complete the design.</p>
<p>Season: SS26<br>
Dimension: 26×17<br>
Composition: 100% Calf Leather Bos Taurus</p>
",Golden Goose,,,"112075178262, 13426, Bags, Brown, Golden Goose, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,GOGWA00470A00075355682BB,3000,shopify,deny,manual,954,1170,TRUE,TRUE,,,,,'9900658538584,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10486262.jpg?v=1772548104,1,,FALSE,,,,,,,,GWA00470A000753,,kg,,610,active
brown-calf-leather-bos-taurus-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10486264.jpg?v=1772548104,2,,,,,,,,,,,,,,,
brown-calf-leather-bos-taurus-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10486266.jpg?v=1772548104,3,,,,,,,,,,,,,,,
brown-calf-leather-bos-taurus-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10486269.jpg?v=1772548104,4,,,,,,,,,,,,,,,
black-calf-leather-bos-taurus-shoulder-bag-7,Black Calf Leather Bos Taurus Shoulder Bag,"<p>The Lock Shoulder Bag in leather by Dolce&amp;Gabbana is a symbol of timeless elegance. The padlock closure with bridge and vintage brass plating add a distinctive and sophisticated touch. The external personalization with leather tag and foil stamp, together with the internal stamp, emphasize the authenticity of the brand. The interior, equipped with a flat pocket, offers convenient organization. A luxury accessory that combines practicality and style, perfect for completing any look with a touch of class. </p>
<p>Season: SS26<br>
Dimension: 20x12x4<br>
Composition: 100% Calf Leather Bos Taurus</p>
",Dolce & Gabbana,,,"112075178262, 13426, Bags, Black, Dolce & Gabbana, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,DOBB7891AZ00080999BB,3000,shopify,deny,manual,966,1170,TRUE,TRUE,,,,,'9900660764001,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10453581.jpg?v=1772548101,1,,FALSE,,,,,,,,BB7891AZ000,,kg,,640,active
black-calf-leather-bos-taurus-shoulder-bag-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10453582.jpg?v=1772548101,2,,,,,,,,,,,,,,,
black-calf-leather-bos-taurus-shoulder-bag-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10453583.jpg?v=1772548101,3,,,,,,,,,,,,,,,
black-calf-leather-bos-taurus-shoulder-bag-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10453590.jpg?v=1772548101,4,,,,,,,,,,,,,,,
pink-leather-shoulder-bag-4,Pink Leather Shoulder Bag,"<p>Description:<br>
The product with MPN <b>SBMP0121U0LV520Z646C</b> and code <b>F85845</b> <b>leather</b> in <b>fuchsia</b> is a <b>shoulder bags</b> designed by <b>Marni</b>. It has features like <b>adjustable handle, divider inner pocket, side logo</b>.</p>
",Marni,,,"112075374870, 13426, Bags, Marni, New with tags, Pink, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,MA15488516161801BT,3000,shopify,deny,manual,1020.4,1775,TRUE,TRUE,,,,,'8050268388633,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405035.jpg?v=1772548099,1,,FALSE,,,,,,,,SBMP0121U0LV520Z646C,,kg,,677,active
pink-leather-shoulder-bag-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405039.jpg?v=1772548099,2,,,,,,,,,,,,,,,
pink-leather-shoulder-bag-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405043.jpg?v=1772548099,3,,,,,,,,,,,,,,,
pink-leather-shoulder-bag-3,Pink Leather Shoulder Bag,"<p>Description:<br>
The product with MPN <b>SBMPN09U07LV520Z646C</b> and code <b>F77056</b> <b>leather</b> in <b>fuchsia</b> is a <b>shoulder bags</b> designed by <b>Marni</b>. It has features like <b>adjustable handle, divider inner pocket, adjustable shoulder</b>.</p>
",Marni,,,"112075374870, 13426, Bags, Marni, New with tags, Pink, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,MA15488525533449BT,3000,shopify,deny,manual,1117.6,1945,TRUE,TRUE,,,,,'8050268389043,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405034.jpg?v=1772548097,1,,FALSE,,,,,,,,SBMPN09U07LV520Z646C,,kg,,743,active
pink-leather-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405037.jpg?v=1772548097,2,,,,,,,,,,,,,,,
pink-leather-shoulder-bag-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405040.jpg?v=1772548097,3,,,,,,,,,,,,,,,
red-leather-shoulder-bag-1,Red Leather Shoulder Bag,"<p>Description:<br>
The product with MPN <b>SBMPN09U07LV589Z651O</b> and code <b>F85846</b> <b>leather</b> in <b>red</b> is a <b>shoulder bags</b> designed by <b>Marni</b>. It has features like <b>side logo, divider inner pocket, adjustable shoulder</b>.</p>
",Marni,,,"112075374870, 13426, Bags, Marni, New with tags, Red, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,MA15488548667657BT,3000,shopify,deny,manual,1117.6,1945,TRUE,TRUE,,,,,'8050268388602,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405033.jpg?v=1772548095,1,,FALSE,,,,,,,,SBMPN09U07LV589Z651O,,kg,,743,active
red-leather-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405036.jpg?v=1772548095,2,,,,,,,,,,,,,,,
red-leather-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10405038.jpg?v=1772548095,3,,,,,,,,,,,,,,,
black-calf-leather-bos-taurus-shoulder-bag-6,Black Calf Leather Bos Taurus Shoulder Bag,"<p>Elegant and versatile Dolce&amp;Gabbana leather Shoulder Bag, perfect for everyday use or to complete refined looks. Equipped with an adjustable flat shoulder strap for personalized wearability, it features a top zipper closure for security and practicality. The front features a plaque embossed with the iconic gold-plated D&amp;G logo, a distinctive symbol of the brand. The interior is organized with a zippered welt pocket, ideal for storing smaller items.</p>
<p>Season: SS26<br>
Dimension: 22x18x6<br>
Composition: 100% Calf Leather Bos Taurus</p>
",Dolce & Gabbana,,,"112075178262, 13426, Bags, Black, Dolce & Gabbana, New with tags, Shoulder Bags - Bags, Women",TRUE,Title,Default Title,,,,,,,,DOBB7598AW57680999BB,3000,shopify,deny,manual,1065,1370,TRUE,TRUE,,,,,'9900064502971,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10403078.jpg?v=1772548093,1,,FALSE,,,,,,,,BB7598AW576,,kg,,740,active
black-calf-leather-bos-taurus-shoulder-bag-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10403079.jpg?v=1772548093,2,,,,,,,,,,,,,,,
black-calf-leather-bos-taurus-shoulder-bag-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0978/5101/5446/files/10403081.jpg?v=1772548094,3,,,,,,,,,,,,,,,
